,Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
155,blinding,0.0,0.28,0.11,0.11,0.19,0.3,Surprise,Florence + the Machine
156,latin simone (?que pasa contigo?),0.0,1.0,0.0,0.0,0.0,0.0,Angry,Gorillaz
157,last living souls,0.0,0.09,0.05,0.09,0.68,0.09,Angry,Gorillaz
158,strange timez,0.0,0.11,0.05,0.11,0.16,0.58,Angry,Gorillaz
159,silent running,0.0,0.12,0.0,0.47,0.12,0.29,Angry,Gorillaz
160,ascension,0.0099999999999999,0.1,0.02,0.2,0.41,0.27,Angry,Gorillaz
161,let me out,0.0,0.22,0.0,0.44,0.14,0.19,Angry,Gorillaz
162,opium,0.0,0.18,0.06,0.18,0.1,0.47,Angry,Gorillaz
163,the valley of the pagans,0.0,0.24,0.04,0.24,0.06,0.42,Angry,Gorillaz
164,tranz,0.0,0.0,0.0,0.22,0.17,0.61,Angry,Gorillaz
165,busted and blue,0.0,0.23,0.04,0.27,0.19,0.27,Angry,Gorillaz
166,empire ants,0.01,0.1,0.05,0.15,0.15,0.55,Angry,Gorillaz
167,tomorrow comes today,0.0,0.12,0.0,0.0,0.12,0.75,Angry,Gorillaz
168,momentary bliss,0.0,0.12,0.05,0.42,0.18,0.23,Angry,Gorillaz
169,interlude: the non-conformist oath,0.0,0.12,0.0,0.75,0.12,0.0,Angry,Gorillaz
170,clint eastwood,0.0,0.14,0.02,0.11,0.55,0.18,Angry,Gorillaz
171,skinny ape,0.0,0.11,0.0,0.37,0.15,0.37,Angry,Gorillaz
172,white flag,0.0,0.12,0.02,0.34,0.22,0.29,Angry,Gorillaz
173,sex murder party,0.0,0.0,0.03,0.62,0.09,0.25,Angry,Gorillaz
174,feel good inc.,0.0,0.22,0.03,0.27,0.3,0.19,Angry,Gorillaz
175,souk eye,0.0,0.21,0.05,0.26,0.21,0.26,Angry,Gorillaz
176,mls,0.0,0.27,0.03,0.23,0.26,0.21,Angry,Gorillaz
177,dead butterflies,0.0099999999999999,0.1,0.02,0.27,0.32,0.29,Angry,Gorillaz
178,latin simone (?que pasa contigo?),0.0,1.0,0.0,0.0,0.0,0.0,Fear,Gorillaz
179,welcome to the world of the plastic beach,0.0,0.41,0.07,0.22,0.11,0.19,Fear,Gorillaz
180,clint eastwood,0.0,0.14,0.02,0.11,0.55,0.18,Fear,Gorillaz
181,garage palace,0.0,0.12,0.09,0.15,0.3,0.33,Fear,Gorillaz
182,silent running,0.0,0.12,0.0,0.47,0.12,0.29,Fear,Gorillaz
183,to binge,0.0,0.24,0.12,0.24,0.24,0.18,Fear,Gorillaz
184,dead butterflies,0.0,0.1,0.02,0.27,0.32,0.29,Fear,Gorillaz
185,sleeping powder,0.0,0.67,0.0,0.0,0.05,0.29,Fear,Gorillaz
186,busted and blue,0.0,0.23,0.04,0.27,0.19,0.27,Fear,Gorillaz
187,stylo,0.0,0.15,0.15,0.24,0.2,0.27,Fear,Gorillaz
188,november has come,0.0,0.07,0.23,0.23,0.2,0.27,Fear,Gorillaz
