name,happy,fear,angry,sad,surprise,Closeness_Score,Iteration,Emotion,ArtistName,
New Fiction,0.15,0.03,0.03,0.58,0.21,0.515,11,None,Little Dragon,
Turn Left,0.11,0.21,0.05,0.11,0.53,0.595,11,None,Little Dragon,
Cursed,0.1,0.1,0.04,0.38,0.38,0.48,1,None,Lord Huron,
The Problem With Your Daughter,0.25,0.31,0.06,0.12,0.25,0.51,1,None,Lord Huron,
La Belle Fleur Sauvage,0.19,0.42,0.04,0.12,0.23,0.52,1,None,Lord Huron,
Ancient Names (Part II),0.08,0.08,0.52,0.12,0.2,0.52,1,None,Lord Huron,
"Ancient Names, Pt. I",0.08,0.08,0.52,0.12,0.2,0.52,1,None,Lord Huron,
The Man Who Lives Forever,0.08,0.1,0.01,0.12,0.69,0.54,1,None,Lord Huron,
Moonbeam,0.05,0.35,0.05,0.3,0.25,0.54,1,None,Lord Huron,
Wait by the River,0.04,0.08,0.04,0.17,0.67,0.56,1,None,Lord Huron,
The Balancer's Eye,0.13,0.3,0.1,0.2,0.27,0.14,2,None,Lord Huron,
Dead Man's Hand,0.13,0.3,0.09,0.26,0.22,0.140001,2,None,Lord Huron,
Son of a Gun,0.27,0.24,0.12,0.21,0.15,0.23,2,None,Lord Huron,
Drops in the Lake,0.1,0.29,0.13,0.29,0.19,0.24,2,None,Lord Huron,
Your Other Life,0.18,0.29,0.18,0.18,0.18,0.25,2,None,Lord Huron,
The World Ender,0.09,0.26,0.06,0.34,0.26,0.27,2,None,Lord Huron,
Not Dead Yet,0.04,0.35,0.13,0.22,0.26,0.28,2,None,Lord Huron,
Mine Forever,0.12,0.24,0.04,0.2,0.4,0.28,2,None,Lord Huron,
Fool for Love,0.17,0.41,0.07,0.2,0.15,0.32,2,None,Lord Huron,
Emerald Star,0.38,0.23,0.15,0.23,0,0.53,2,None,Lord Huron,
We Went Wild,0.47,0.24,0.06,0.18,0.06,0.57,2,None,Lord Huron,
In the Wind,0.11,0.26,0.05,0.05,0.53,0.58,2,None,Lord Huron,
Dead Man's Hand,0.13,0.3,0.09,0.26,0.22,0,3,None,Lord Huron,
Drops in the Lake,0.1,0.29,0.13,0.29,0.19,0.14,3,None,Lord Huron,
Hurricane (Johnnie's Theme),0.06,0.31,0.16,0.25,0.22,0.16,3,None,Lord Huron,
The World Ender,0.09,0.26,0.06,0.34,0.26,0.23,3,None,Lord Huron,
Moonbeam,0.05,0.35,0.05,0.3,0.25,0.24,3,None,Lord Huron,
Secret of Life,0,0.35,0.12,0.27,0.25,0.25,3,None,Lord Huron,
Not Dead Yet,0.04,0.35,0.13,0.22,0.26,0.26,3,None,Lord Huron,
Your Other Life,0.18,0.29,0.18,0.18,0.18,0.27,3,None,Lord Huron,
Meet Me in the Woods,0.15,0.33,0.15,0.3,0.07,0.3,3,None,Lord Huron,
Meet Me in the City,0.15,0.33,0.15,0.3,0.07,0.3,3,None,Lord Huron,
Frozen Pines,0.11,0.17,0.11,0.28,0.33,0.3,3,None,Lord Huron,
